,Unnamed: 0,Unnamed: 0.1,Movie Title,Worldwide,Budget,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
0,0,0,Avengers: Infinity War,2048359754,678815482,33.1,1369544272,66.9,85.0,91.0,PG-13,"AnthonyRusso,JoeRusso",KevinFeige,4-27-2018,678800000.0,8.5,999520,movie,Avengers: Infinity War,0,2018,149,"Action,Adventure,Sci-Fi"
1,1,1,Black Panther,1346913161,700059566,52,646853595,48,96.0,79.0,PG-13,RyanCoogler,KevinFeige,2-16-2018,700200000.0,7.3,714730,movie,Black Panther,0,2018,134,"Action,Adventure,Sci-Fi"
2,2,2,Jurassic World: Fallen Kingdom,1308467944,417719760,31.9,890748184,68.1,47.0,48.0,PG-13,JuanAntonioBayona,"FrankMarshall,BelénAtienza,PatrickCrowley",6-22-2018,416700000.0,6.2,295072,movie,Jurassic World: Fallen Kingdom,0,2018,128,"Action,Adventure,Sci-Fi"
3,3,3,Incredibles 2,1242805359,608581744,49,634223615,51,93.0,84.0,PG,BradBird,"JohnWalker,NicoleParadisGrindle",6-15-2018,608600000.0,7.6,282733,movie,Incredibles 2,0,2018,118,"Action,Adventure,Animation"
4,4,4,Aquaman,1148461807,335061807,29.2,813400000,70.8,65.0,73.0,PG-13,JamesWan,"PeterSafran,RobCowan",12-21-2018,335000000.0,6.9,437856,movie,Aquaman,0,2018,143,"Action,Adventure,Fantasy"
5,5,5,Bohemian Rhapsody,903655259,216428042,24,687227217,76,60.0,85.0,PG-13,BryanSinger,"GrahamKing,JimBeach,PeterOberth",11-2-2018,216300000.0,8.0,512505,movie,Bohemian Rhapsody,0,2018,134,"Biography,Drama,Music"
6,6,6,Venom,856085151,213515506,24.9,642569645,75.1,30.0,81.0,PG-13,RubenFleischer,"AviArad,MatthewTolmach,AmyPascal",10-5-2018,213500000.0,6.7,460725,movie,Venom,0,2018,112,"Action,Adventure,Sci-Fi"
7,7,7,Mission: Impossible - Fallout,791115104,220159104,27.8,570956000,72.2,97.0,88.0,PG-13,ChristopherMcQuarrie,"TomCruise,ChristopherMcQuarrie,JakeMyers,J.J.Abrams",7-27-2018,220100000.0,7.7,319150,movie,Mission: Impossible - Fallout,0,2018,147,"Action,Adventure,Thriller"
8,8,8,Deadpool 2,734546611,318491426,43.4,416055185,56.6,84.0,85.0,R,DavidLeitch,"RyanReynolds,SimonKinberg,LaurenShulerDonner",5-18-2018,324300000.0,7.7,548302,movie,Deadpool 2,0,2018,119,"Action,Adventure,Comedy"
9,9,9,Fantastic Beasts: The Crimes of Grindelwald,654855901,159555901,24.4,495300000,75.6,36.0,54.0,PG-13,DavidYates,"DavidHeyman,LionelWigram,SteveKloves,J.K.Rowling",11-16-2018,159400000.0,6.5,255280,movie,Fantastic Beasts: The Crimes of Grindelwald,0,2018,134,"Adventure,Family,Fantasy"
10,10,10,Ant-Man and the Wasp,622674139,216648740,34.8,406025399,65.2,87.0,81.0,PG-13,PeytonReed,"KevinFeige,StephenBroussard",7-6-2018,216600000.0,7.0,373994,movie,Ant-Man and the Wasp,0,2018,118,"Action,Adventure,Comedy"
11,11,11,Ready Player One,582890172,137690172,23.6,445200000,76.4,72.0,77.0,PG-13,StevenSpielberg,"StevenSpielberg,DonaldDeLine,DanFarah,KristieMacoskoKrieger",3-29-2018,137000000.0,7.4,417822,movie,Ready Player One,0,2018,140,"Action,Adventure,Sci-Fi"
12,12,12,Operation Red Sea,579330426,1543547,0.3,577786879,99.7,80.0,64.0,,DanteLam,"ZakariaAlaoui,DongYu",2-23-2018,1500000.0,6.6,7027,movie,Hong hai xing dong,0,2018,142,"Action,Drama,Thriller"
13,13,13,Detective Chinatown 2,544185156,1983984,0.4,542201172,99.6,54.0,66.0,R,ChenSiCheng,,2-16-2018,1500000.0,6.1,2504,movie,Tang ren jie tan an 2,0,2018,121,"Action,Comedy,Mystery"
14,14,14,The Meg,530243742,145443742,27.4,384800000,72.6,45.0,42.0,PG-13,JonTurteltaub,"LorenzodiBonaventura,ColinWilson,BelleAvery",8-10-2018,142800000.0,5.6,166085,movie,The Meg,0,2018,113,"Action,Horror,Sci-Fi"
15,15,15,Hotel Transylvania 3: Summer Vacation,528583774,167510016,31.7,361073758,68.3,62.0,48.0,PG,GenndyTartakovsky,MichelleMurdocca,7-13-2018,167500000.0,6.3,70524,movie,Hotel Transylvania 3: Summer Vacation,0,2018,97,"Adventure,Animation,Comedy"
16,16,16,The Grinch,511595957,270620950,52.9,240975007,47.1,59.0,51.0,PG,"ScottMosier,YarrowCheney","JanetHealy,ChristopherMeledandri",11-9-2018,270900000.0,6.3,67608,movie,The Grinch,0,2018,85,"Adventure,Animation,Comedy"
17,17,17,Bumblebee,467989645,127195589,27.2,340794056,72.8,90.0,74.0,PG-13,TravisKnight,"LorenzodiBonaventura,TomDeSanto,DonMurphy,MichaelBay,MarkVahradian",12-21-2018,127200000.0,6.7,158336,movie,Bumblebee,0,2018,114,"Action,Adventure,Sci-Fi"
18,18,18,Dying to Survive,451176639,-,-,451176639,100,86.0,94.0,,MuyeWen,,8-9-2019,3.2K,7.9,5927,movie,Wo bu shi yao shen,0,2018,117,"Comedy,Drama"
19,19,19,A Star Is Born,436188866,215288866,49.4,220900000,50.6,90.0,79.0,R,BradleyCooper,"BillGerber,JonPeters,BradleyCooper,ToddPhillips,LynetteHowellTaylor",10-5-2018,215300000.0,7.6,370906,movie,A Star Is Born,0,2018,136,"Drama,Music,Romance"
20,20,20,Rampage,428028233,101028233,23.6,327000000,76.4,51.0,72.0,PG-13,BradPeyton,"BeauFlynn,JohnRickard,BradPeyton,HiramGarcia",4-13-2018,99300000.0,6.1,161488,movie,Rampage,0,2018,107,"Action,Adventure,Sci-Fi"
21,21,21,Mamma Mia! Here We Go Again,395044706,120634935,30.5,274409771,69.5,79.0,66.0,PG-13,OlParker,"JudyCraymer,GaryGoetzman",7-20-2018,120600000.0,6.6,91467,movie,Mamma Mia! Here We Go Again,0,2018,114,"Comedy,Musical,Romance"
22,22,22,Solo: A Star Wars Story,392924807,213767512,54.4,179157295,45.6,69.0,64.0,PG-13,RonHoward,"KathleenKennedy,AllisonShearmur,SimonEmanuel",5-25-2018,213800000.0,6.9,328318,movie,Solo: A Star Wars Story,0,2018,135,"Action,Adventure,Sci-Fi"
23,23,23,Spider-Man: Into the Spider-Verse,375540831,190241310,50.7,185299521,49.3,97.0,93.0,PG,"BobPersichetti,PeterRamsey,RodneyRothman","AviArad,AmyPascal,PhilLord,ChrisMiller,ChristinaSteinberg",12-14-2018,190200000.0,8.4,481494,movie,Spider-Man: Into the Spider-Verse,0,2018,117,"Action,Adventure,Animation"
24,24,24,Fifty Shades Freed,371985018,100407760,27,271577258,73,11.0,37.0,R,JamesFoley,"MichaelDeLuca,E.L.James,DanaBrunetti,MarcusViscidi",2-9-2018,100400000.0,4.5,63452,movie,Fifty Shades Freed,0,2018,105,"Drama,Romance,Thriller"
25,25,25,Hello Mr. Billionaire,366961907,-,-,366961907,100,,,,,,,,6.1,2024,movie,Xi hong shi shou fu,0,2018,118,Comedy
26,26,26,The Nun,365550119,117450119,32.1,248100000,67.9,24.0,35.0,R,CorinHardy,"JamesWan,PeterSafran",9-7-2018,117400000.0,5.3,135588,movie,The Nun,0,2018,96,"Horror,Mystery,Thriller"
27,27,27,Monster Hunt 2,361682618,706153,0.2,360976465,99.8,50.0,52.0,,RamanHui,"DorisTse,ChungManYee",2-16-2018,681.1K,5.4,1680,movie,Zhuo yao ji 2,0,2018,110,"Adventure,Comedy,Fantasy"
28,28,28,Peter Rabbit,351266433,115253424,32.8,236013009,67.2,63.0,56.0,PG,WillGluck,"WillGluck,ZarehNalbandian",2-9-2018,115200000.0,6.6,41555,movie,Peter Rabbit,0,2018,95,"Adventure,Animation,Comedy"
29,29,29,Mary Poppins Returns,349537494,171958438,49.2,177579056,50.8,80.0,65.0,PG,RobMarshall,"RobMarshall,JohnDeLuca,MarcPlatt",12-19-2018,172000000.0,6.7,86145,movie,Mary Poppins Returns,0,2018,130,"Adventure,Comedy,Family"
30,30,30,A Quiet Place,340939361,188024361,55.1,152915000,44.9,96.0,83.0,PG-13,JohnKrasinski,"MichaelBay,AndrewForm,BradFuller",4-6-2018,68400000.0,7.5,503125,movie,A Quiet Place,0,2018,90,"Drama,Horror,Sci-Fi"
31,31,31,Green Book,321752656,85080171,26.4,236672485,73.6,77.0,91.0,PG-13,PeterFarrelly,"JimBurke,CharlesB.Wessler,PeterFarrelly,BrianCurrie,NickVallelonga",11-21-2018,85100000.0,8.2,458573,movie,Green Book,0,2018,130,"Biography,Comedy,Drama"
32,32,32,Skyscraper,304868961,68420120,22.4,236448841,77.6,48.0,68.0,PG-13,RawsonMarshallThurber,"BeauFlynn,DwayneJohnson,RawsonMarshallThurber,HiramGarcia",7-13-2018,67800000.0,5.8,119197,movie,Skyscraper,0,2018,102,"Action,Adventure,Thriller"
33,33,33,Ocean's Eight,297718711,140218711,47.1,157500000,52.9,68.0,46.0,PG-13,GaryRoss,"StevenSoderbergh,SusanEkins",6-8-2018,139400000.0,6.3,210575,movie,Ocean's Eight,0,2018,110,"Action,Comedy,Crime"
34,34,34,Pacific Rim: Uprising,290930148,59874525,20.6,231055623,79.4,42.0,38.0,PG-13,StevenS.DeKnight,"MaryParent,CaleBoyter,GuillermodelToro,JohnBoyega,FemiOguns,ThomasTull,JonJashni",3-23-2018,59200000.0,5.6,114695,movie,Pacific Rim: Uprising,0,2018,111,"Action,Adventure,Sci-Fi"
35,35,35,Maze Runner: The Death Cure,288175335,58032443,20.1,230142892,79.9,43.0,58.0,PG-13,WesBall,"EllenGoldsmith-Vein,WyckGodfrey,MartyBowen,LeeStollman",1-26-2018,57400000.0,6.2,132376,movie,Maze Runner: The Death Cure,0,2018,143,"Action,Adventure,Sci-Fi"
36,36,36,Tomb Raider,274650803,58250803,21.2,216400000,78.8,52.0,55.0,PG-13,RoarUthaug,GrahamKing,3-16-2018,57300000.0,6.3,209380,movie,Tomb Raider,0,2018,119,"Action,Adventure,Fantasy"
37,37,37,Halloween,255485178,159342015,62.4,96143163,37.6,28.0,59.0,R,RobZombie,"RobZombie,MalekAkkad,AndyGould",8-31-2007,58300000.0,6.5,144593,movie,Halloween,0,2018,106,"Crime,Horror,Thriller"
38,38,38,Crazy Rich Asians,238532921,174532921,73.2,64000000,26.8,91.0,76.0,PG-13,JonM.Chu,"NinaJacobson,BradSimpson,JohnPenotti",8-15-2018,174500000.0,6.9,164919,movie,Crazy Rich Asians,0,2018,120,"Comedy,Drama,Romance"
39,39,39,Creed II,214215889,115715889,54,98500000,46,83.0,79.0,PG-13,StevenCapleJr.,"SylvesterStallone,KevinKingTempleton,CharlesWinkler,WilliamChartoff,DavidWinkler,IrwinWinkler",11-21-2018,115700000.0,7.1,120058,movie,Creed II,0,2018,130,"Drama,Sport"
40,40,40,Smallfoot,214040103,83240103,38.9,130800000,61.1,76.0,62.0,PG,KareyKirkpatrick,"BonneRadford,GlennFicarra,JohnRequa",9-28-2018,83200000.0,6.6,38539,movie,Smallfoot,0,2018,96,"Adventure,Animation,Comedy"
41,41,41,Us and Them,209221380,-,-,209221380,100,60.0,64.0,,JoeMartin,DanielleClark,3-16-2018,,7.4,4053,movie,Hou lai de wo men,0,2018,120,"Drama,Romance"
42,42,42,The Island,198326350,670883,0.3,197655467,99.7,39.0,63.0,,MichaelBay,,,,6.2,1651,movie,Yi chu hao xi,0,2018,134,"Comedy,Drama"
43,43,43,The Island,198326350,670883,0.3,197655467,99.7,39.0,63.0,,MichaelBay,,,,5.1,37,movie,The Island,0,2018,94,"Action,Thriller"
44,44,44,Christopher Robin,197744377,99215042,50.2,98529335,49.8,72.0,83.0,PG,MarcForster,"BrighamTaylor,KristinBurr",8-3-2018,99200000.0,7.2,75694,movie,Christopher Robin,0,2018,104,"Adventure,Comedy,Drama"
45,45,45,The Equalizer 2,190400157,102084362,53.6,88315795,46.4,52.0,60.0,R,AntoineFuqua,"ToddBlack,JasonBlumenthal,DenzelWashington,AntoineFuqua,AlexSiskin,SteveTisch,MaceNeufeld,TonyEldridge,MichaelSloan",7-20-2018,102000000.0,6.7,153306,movie,The Equalizer 2,0,2018,121,"Action,Crime,Thriller"
46,46,46,Project Gutenberg,188116796,-,-,188116796,100,83.0,77.0,,UnknownDirector,,,,6.8,4394,movie,Mou seung,0,2018,130,"Action,Crime,Mystery"
47,47,47,The Mule,174804407,103804407,59.4,71000000,40.6,,,,,,,,7.0,132070,movie,The Mule,0,2018,116,"Crime,Drama,Thriller"
48,48,48,The Nutcracker and the Four Realms,173961069,54858851,31.5,119102218,68.5,32.0,34.0,PG,"LasseHallström,JoeJohnston","MarkGordon,LarryJ.Franco",11-2-2018,54800000.0,5.5,32916,movie,The Nutcracker and the Four Realms,0,2018,99,"Adventure,Family,Fantasy"
49,49,49,Insidious: The Last Key,167885588,67745330,40.4,100140258,59.6,33.0,50.0,PG-13,AdamRobitel,"JasonBlum,OrenPeli,JamesWan",1-5-2018,67300000.0,5.7,58685,movie,Insidious: The Last Key,0,2018,103,"Horror,Mystery,Thriller"
50,50,50,The Predator,160542134,51024708,31.8,109517426,68.2,33.0,33.0,R,ShaneBlack,JohnDavis,9-14-2018,51000000.0,5.3,126050,movie,The Predator,0,2018,107,"Action,Adventure,Sci-Fi"
51,51,51,Johnny English Strikes Again,158970776,4412170,2.8,154558606,97.2,37.0,49.0,PG,DavidKerr,"ChrisClark,TimBevan,EricFellner,RowanAtkinson,RaphaëlBenoliel",10-26-2018,4300000.0,6.2,71900,movie,Johnny English Strikes Again,0,2018,89,"Action,Adventure,Comedy"
52,52,52,Red Sparrow,151572634,46874505,30.9,104698129,69.1,45.0,49.0,R,FrancisLawrence,"PeterChernin,DavidReady,JennoTopping,StevenZaillian",3-2-2018,46700000.0,6.6,181750,movie,Red Sparrow,0,2018,140,"Action,Drama,Thriller"
53,53,53,More Than Blue,142958164,722669,0.5,142235495,99.5,,67.0,,GavinLin,,3-15-2019,721.8K,6.2,1140,movie,Bi bei shang geng bei shang de gu shi,0,2018,105,Romance
54,54,54,The First Purge,137056262,69488745,50.7,67567517,49.3,56.0,27.0,R,GerardMcMurray,"JasonBlum,MichaelBay,AndrewForm,BradFuller,SebastienK.Lemercier",7-4-2018,68900000.0,5.2,62356,movie,The First Purge,0,2018,97,"Action,Horror,Sci-Fi"
55,55,55,How Long Will I Love U,136796719,746933,0.5,136049786,99.5,,86.0,,LunXu,,5-25-2018,740.1K,6.4,1009,movie,Chao shi kong tong ju,0,2018,101,"Comedy,Fantasy,Romance"
56,56,56,A Wrinkle in Time,132675864,100478608,75.7,32197256,24.3,42.0,26.0,PG,AvaDuVernay,"JamesWhitaker,CatherineHand",3-9-2018,100500000.0,4.2,44297,movie,A Wrinkle in Time,0,2018,109,"Adventure,Family,Fantasy"
57,57,57,The House with a Clock in Its Walls,131457147,68549695,52.1,62907452,47.9,65.0,45.0,PG,EliRoth,"BradleyJ.Fischer,JamesVanderbilt,EricKripke",9-21-2018,68500000.0,6.0,50688,movie,The House with a Clock in Its Walls,0,2018,105,"Comedy,Family,Fantasy"
58,58,58,Instant Family,120556201,67363237,55.9,53192964,44.1,81.0,82.0,PG-13,SeanAnders,"MarkWahlberg,StephenLevinson,SeanAnders,JohnMorris,MarcD.Evans",11-16-2018,67300000.0,7.3,103375,movie,Instant Family,0,2018,118,"Comedy,Drama"
59,59,59,A Cool Fish,118153135,551876,0.5,117601259,99.5,20.0,88.0,,RaoXiaozhi,,11-16-2018,551.2K,6.9,1669,movie,Wu ming zhi bei,0,2018,109,Comedy
60,60,60,Game Night,117679066,69179066,58.8,48500000,41.2,85.0,77.0,R,"JohnFrancisDaley,JonathanM.Goldstein","JohnDavis,JasonBateman,JohnFox,JamesGaravente",2-23-2018,69000000.0,6.9,227825,movie,Game Night,0,2018,100,"Action,Adventure,Comedy"
61,61,61,Dragon Ball Super: Broly,115757940,30712119,26.5,85045821,73.5,82.0,92.0,PG,TatsuyaNagamine,,1-16-2019,30000000.0,7.8,25976,movie,Doragon bôru chô: Burorî,0,2018,100,"Action,Adventure,Animation"
62,62,62,The Monkey King 3,115084576,187074,0.2,114897502,99.8,29.0,47.0,,Pou-SoiCheang,,2-16-2018,,5.5,1442,movie,Xi you ji zhi nü er guo,0,2018,114,"Action,Adventure,Family"
63,63,63,First Man,105697415,44936545,42.5,60760870,57.5,87.0,67.0,PG-13,DamienChazelle,"WyckGodfrey,MartyBowen,IsaacKlausner,DamienChazelle",10-12-2018,44800000.0,7.3,183776,movie,First Man,0,2018,141,"Biography,Drama,History"
64,64,64,Book Club,104438188,68566296,65.7,35871892,34.3,54.0,51.0,PG-13,BillHolderman,"AndrewDuncan,AlexSaks,BillHolderman,ErinSimms",5-18-2018,68500000.0,6.1,27713,movie,Book Club,0,2018,104,"Comedy,Drama,Romance"
65,65,65,Night School,103105878,77339130,75,25766748,25,26.0,38.0,PG-13,MalcolmD.Lee,"WillPacker,KevinHart",9-28-2018,77200000.0,5.6,39891,movie,Night School,0,2018,111,Comedy
66,66,66,Detective Conan: Zero the Enforcer,101860359,-,-,101860359,100,,83.0,,YuzuruTachikawa,,,,6.2,1514,movie,Meitantei Conan: Zero no Shikkônin,0,2018,115,"Action,Adventure,Animation"
67,67,67,Alpha,98203196,35857181,36.5,62346015,63.5,81.0,71.0,PG-13,AlbertHughes,"AndrewRona,AlbertHughes",8-17-2018,35900000.0,6.7,61241,movie,Alpha,0,2018,96,"Action,Adventure,Drama"
68,68,68,Along With the Gods: The Last 49 Days,97962238,1200246,1.2,96761992,98.8,44.0,77.0,,KimYong-hwa,ChoiJiseon,8-1-2018,1200000.0,7.1,6957,movie,Sin-gwa ham-kke: In-gwa yeon,0,2018,142,"Action,Drama,Fantasy"
69,69,69,A Simple Favor,97644617,53548586,54.8,44096031,45.2,84.0,73.0,R,PaulFeig,"PaulFeig,JessieHenderson",9-14-2018,53500000.0,6.8,144387,movie,A Simple Favor,0,2018,117,"Comedy,Crime,Mystery"
70,70,70,Boonie Bears: The Big Shrink,96845907,-,-,96845907,100,,,,,,,,5.4,206,movie,Boonie Bears: The Big Shrink,0,2018,90,Animation
71,71,71,The Favourite,95918706,34366783,35.8,61551923,64.2,93.0,70.0,R,YorgosLanthimos,"YorgosLanthimos,CeciDempsey,EdGuiney,LeeMagiday",12-14-2018,34200000.0,7.5,193355,movie,The Favourite,0,2018,119,"Biography,Comedy,Drama"
72,72,72,Truth or Dare,95330493,41411015,43.4,53919478,56.6,,25.0,,NickSimon,"LisaRiley,LisaM.Hansen",,,5.2,54132,movie,Truth or Dare,0,2018,100,"Horror,Thriller"
73,73,73,Kill Mobile,94870905,-,-,94870905,100,,,,MiaoYu,,,,5.6,341,movie,Lai dian kuang xiang,0,2018,90,Drama
74,74,74,I Feel Pretty,94539426,48795601,51.6,45743825,48.4,35.0,35.0,PG-13,"AbbyKohn,MarcSilverstein","AlissaPhillips,DominicRustam,NicolasChartier,AmySchumer,MaryViola,McG",4-20-2018,48800000.0,5.6,53052,movie,I Feel Pretty,0,2018,110,"Comedy,Romance"
75,75,75,Blockers,94017294,60311495,64.1,33705799,35.9,84.0,51.0,R,KayCannon,"EvanGoldberg,SethRogen,JamesWeaver,JonHurwitz,HaydenSchlossberg,ChrisFenton",4-6-2018,59800000.0,6.2,78062,movie,Blockers,0,2018,102,Comedy
76,76,76,BlacKkKlansman,93400823,49275340,52.8,44125483,47.2,96.0,83.0,R,SpikeLee,"SeanMcKittrick,RaymondMansfield,JasonBlum,JordanPeele,SpikeLee,ShaunRedick",8-10-2018,48600000.0,7.5,253916,movie,BlacKkKlansman,0,2018,135,"Biography,Comedy,Crime"
77,77,77,Goosebumps 2: Haunted Halloween,93320380,46700633,50,46619747,50,47.0,36.0,PG,AriSandel,"DeborahA.Forte,NealH.Moritz",10-12-2018,46700000.0,5.6,20528,movie,Goosebumps 2: Haunted Halloween,0,2018,90,"Adventure,Comedy,Fantasy"
78,78,78,Shadow,91708374,521396,0.6,91186978,99.4,97.0,89.0,PG,RichardAttenborough,"RichardAttenborough,BrianEastman",1-14-1994,25000000.0,7.0,15251,movie,Ying,0,2018,116,"Action,Adventure,Drama"
79,79,79,Overboard,91244913,50316123,55.1,40928790,44.9,23.0,54.0,PG-13,RobGreenberg,"EugenioDerbez,BenOdell,BobFisher",5-4-2018,50200000.0,6.0,37817,movie,Overboard,0,2018,112,"Comedy,Romance"
80,80,80,Sherlock Gnomes,90497778,43242871,47.8,47254907,52.2,27.0,36.0,PG,JohnStevenson,"SteveHamiltonShaw,DavidFurnish,CarolynSoper",3-23-2018,43100000.0,5.2,12063,movie,Sherlock Gnomes,0,2018,86,"Adventure,Animation,Comedy"
81,81,81,Detective Dee: The Four Heavenly Kings,90040771,262963,0.3,89777808,99.7,60.0,70.0,,HarkTsui,HarkTsui,7-27-2018,132.0K,6.3,2679,movie,Di Renjie zhi Sidatianwang,0,2018,132,"Action,Adventure,Drama"
82,82,82,"Hello, Mrs. Money",86874070,-,-,86874070,100,,,,YuhanWu,,10-5-2018,,4.7,289,movie,Li Cha de gu ma,0,2018,113,Comedy
83,83,83,Robin Hood,86489031,30824628,35.6,55664403,64.4,15.0,40.0,PG-13,OttoBathurst,"JenniferDavissonKilloran,LeonardoDiCaprio,HowardEllis",11-21-2018,30800000.0,5.3,71899,movie,Robin Hood,0,2018,116,"Action,Adventure,Drama"
84,84,84,Robin Hood,86489031,30824628,35.6,55664403,64.4,15.0,40.0,PG-13,OttoBathurst,"JenniferDavissonKilloran,LeonardoDiCaprio,HowardEllis",11-21-2018,30800000.0,7.6,5,movie,Robin Hood,0,2018,\N,\N
85,85,85,I Can Only Imagine,86086881,83482352,97,2604529,3,67.0,91.0,PG,"AndrewErwin,JonErwin","KevinDownes,CindyBond,DarylLefever,MickeyLiddell,PeteShilaimon",3-16-2018,83500000.0,7.3,15979,movie,I Can Only Imagine,0,2018,110,"Biography,Drama,Family"
86,86,86,Hidden Man,85170581,-,-,85170581,100,67.0,67.0,,WenJiang,,,,6.3,2081,movie,Xie bu ya zheng,0,2018,137,"Action,Crime,Drama"
87,87,87,Mortal Engines,83672673,15951040,19.1,67721633,80.9,26.0,48.0,PG-13,ChristianRivers,"ZaneWeiner,AmandaWalker,DeborahA.Forte,FranWalsh,PeterJackson",12-14-2018,15900000.0,6.1,122378,movie,Mortal Engines,0,2018,128,"Action,Adventure,Fantasy"
88,88,88,iPartment the Movie,81096321,-,-,81096321,100,,,,,,,,2.8,130,movie,Ai qing gong yu,0,2018,117,"Adventure,Comedy,Fantasy"
89,89,89,Doraemon the Movie: Nobita's Treasure Island,80920916,-,-,80920916,100,,,,,,,,6.8,757,movie,Doraemon Nobita no Takarajima,0,2018,108,"Adventure,Animation,Comedy"
90,90,90,Den of Thieves,80509622,44947622,55.8,35562000,44.2,42.0,62.0,R,ChristianGudegast,"MarkCanton,TuckerTooley,GerardButler,AlanSiegel",1-19-2018,44900000.0,7.0,106790,movie,Den of Thieves,0,2018,140,"Action,Crime,Drama"
