,Rank,Release Group,Worldwide,Domestic,%,Foreign,%
0,1,Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889","$620,181,382",46.5%,"$712,358,507",53.5%
1,2,Beauty and the Beast,"$1,263,521,126","$504,014,165",39.9%,"$759,506,961",60.1%
2,3,The Fate of the Furious,"$1,236,005,118","$226,008,385",18.3%,"$1,009,996,733",81.7%
3,4,Despicable Me 3,"$1,034,799,409","$264,624,300",25.6%,"$770,175,109",74.4%
4,5,Jumanji: Welcome to the Jungle,"$962,077,546","$404,515,480",42%,"$557,562,066",58%
5,6,Spider-Man: Homecoming,"$880,166,924","$334,201,140",38%,"$545,965,784",62%
6,7,Wolf Warrior 2,"$870,325,439","$2,721,100",0.3%,"$867,604,339",99.7%
7,8,Guardians of the Galaxy Vol. 2,"$863,756,051","$389,813,101",45.1%,"$473,942,950",54.9%
8,9,Thor: Ragnarok,"$853,977,126","$315,058,289",36.9%,"$538,918,837",63.1%
9,10,Wonder Woman,"$821,847,012","$412,563,408",50.2%,"$409,283,604",49.8%
10,11,Coco,"$807,816,196","$210,460,015",26.1%,"$597,356,181",73.9%
11,12,Pirates of the Caribbean: Dead Men Tell No Tales,"$794,861,794","$172,558,876",21.7%,"$622,302,918",78.3%
12,13,It,"$700,381,748","$327,481,748",46.8%,"$372,900,000",53.2%
13,14,Justice League,"$657,924,295","$229,024,295",34.8%,"$428,900,000",65.2%
14,15,Logan,"$619,021,436","$226,277,068",36.6%,"$392,744,368",63.4%
15,16,Transformers: The Last Knight,"$605,425,157","$130,168,683",21.5%,"$475,256,474",78.5%
16,17,Kong: Skull Island,"$566,652,812","$168,052,812",29.7%,"$398,600,000",70.3%
17,18,The Boss Baby,"$527,965,936","$175,003,033",33.1%,"$352,962,903",66.9%
18,19,Dunkirk,"$525,245,546","$188,045,546",35.8%,"$337,200,000",64.2%
19,20,War for the Planet of the Apes,"$490,719,763","$146,880,162",29.9%,"$343,839,601",70.1%
20,21,The Greatest Showman,"$434,993,183","$174,340,174",40.1%,"$260,653,009",59.9%
21,22,Kingsman: The Golden Circle,"$410,902,662","$100,234,838",24.4%,"$310,667,824",75.6%
22,23,The Mummy,"$409,231,607","$80,227,895",19.6%,"$329,003,712",80.4%
23,24,Cars 3,"$383,930,656","$152,901,115",39.8%,"$231,029,541",60.2%
24,25,Fifty Shades Darker,"$381,545,846","$114,581,250",30%,"$266,964,596",70%
25,26,Murder on the Orient Express,"$352,789,811","$102,826,543",29.1%,"$249,963,268",70.9%
26,27,xXx: Return of Xander Cage,"$346,118,277","$44,898,413",13%,"$301,219,864",87%
27,28,Never Say Die,"$334,530,869",-,-,"$334,530,869",100%
28,29,The Lego Batman Movie,"$311,950,384","$175,750,384",56.3%,"$136,200,000",43.7%
29,30,The Ex-File 3: The Return of The Exes,"$307,592,427","$838,959",0.3%,"$306,753,468",99.7%
30,31,Annabelle: Creation,"$306,515,884","$102,092,201",33.3%,"$204,423,683",66.7%
31,32,Wonder,"$305,937,718","$132,422,809",43.3%,"$173,514,909",56.7%
32,33,Ferdinand,"$296,069,199","$84,410,380",28.5%,"$211,658,819",71.5%
33,34,Split,"$278,454,358","$138,291,365",49.7%,"$140,162,993",50.3%
34,35,Blade Runner 2049,"$259,239,658","$92,054,159",35.5%,"$167,185,499",64.5%
35,36,Kung Fu Yoga,"$257,743,016","$362,657",0.1%,"$257,380,359",99.9%
36,37,Get Out,"$255,407,969","$176,040,665",68.9%,"$79,367,304",31.1%
37,38,Baahubali 2: The Conclusion,"$254,158,390","$20,186,659",7.9%,"$233,971,731",92.1%
38,39,Journey to the West: The Demons Strike Back,"$247,585,244","$880,346",0.4%,"$246,704,898",99.6%
39,40,Alien: Covenant,"$240,891,763","$74,262,031",30.8%,"$166,629,732",69.2%
40,41,Paddington 2,"$227,978,523","$40,891,591",17.9%,"$187,086,932",82.1%
41,42,Youth,"$227,091,290","$1,891,956",0.8%,"$225,199,334",99.2%
42,43,Baby Driver,"$226,945,087","$107,825,862",47.5%,"$119,119,225",52.5%
43,44,Valerian and the City of a Thousand Planets,"$225,874,228","$41,189,488",18.2%,"$184,684,740",81.8%
44,45,Geostorm,"$221,600,160","$33,700,160",15.2%,"$187,900,000",84.8%
45,46,The Emoji Movie,"$217,776,646","$86,089,513",39.5%,"$131,687,133",60.5%
46,47,A Dog's Purpose,"$205,035,819","$64,508,620",31.5%,"$140,527,199",68.5%
47,48,Smurfs: The Lost Village,"$197,183,546","$45,020,282",22.8%,"$152,163,264",77.2%
48,49,The Shape of Water,"$195,333,312","$63,859,435",32.7%,"$131,473,877",67.3%
49,50,Pitch Perfect 3,"$185,400,345","$104,897,530",56.6%,"$80,502,815",43.4%
50,51,Daddy's Home 2,"$180,613,180","$104,029,443",57.6%,"$76,583,737",42.4%
51,52,The Post,"$179,769,457","$81,903,458",45.6%,"$97,865,999",54.4%
52,53,Baywatch,"$177,856,751","$58,060,186",32.6%,"$119,796,565",67.4%
53,54,The Hitman's Bodyguard,"$176,586,701","$75,468,583",42.7%,"$101,118,118",57.3%
54,55,John Wick: Chapter 2,"$171,539,887","$92,029,184",53.6%,"$79,510,703",46.4%
55,56,Ghost in the Shell,"$169,801,921","$40,563,557",23.9%,"$129,238,364",76.1%
56,57,"Three Billboards Outside Ebbing, Missouri","$160,192,031","$54,513,740",34%,"$105,678,291",66%
57,58,Duckweed,"$152,894,264","$471,575",0.3%,"$152,422,689",99.7%
58,59,Darkest Hour,"$150,847,207","$56,468,410",37.4%,"$94,378,797",62.6%
59,60,King Arthur: Legend of the Sword,"$148,675,066","$39,175,066",26.3%,"$109,500,000",73.7%
60,61,The Foreigner,"$145,374,099","$34,393,507",23.7%,"$110,980,592",76.3%
61,62,Power Rangers,"$142,337,240","$85,364,450",60%,"$56,972,790",40%
62,63,Girls Trip,"$140,552,359","$115,171,585",81.9%,"$25,380,774",18.1%
63,64,American Made,"$134,866,593","$51,342,000",38.1%,"$83,524,593",61.9%
64,65,A Bad Moms Christmas,"$130,560,428","$72,110,659",55.2%,"$58,449,769",44.8%
65,66,Happy Death Day,"$125,479,266","$55,683,845",44.4%,"$69,795,421",55.6%
66,67,Captain Underpants: The First Epic Movie,"$125,427,681","$73,921,000",58.9%,"$51,506,681",41.1%
67,68,The Lego Ninjago Movie,"$123,081,555","$59,281,555",48.2%,"$63,800,000",51.8%
68,69,Secret Superstar,"$122,026,260",-,-,"$122,026,260",100%
69,70,The Commuter,"$119,942,387","$36,343,858",30.3%,"$83,598,529",69.7%
70,71,Forever Young,"$119,055,731",-,-,"$119,055,731",100%
71,72,The Dark Tower,"$113,231,078","$50,701,325",44.8%,"$62,529,753",55.2%
72,73,Buddies in India,"$110,155,128","$293,194",0.3%,"$109,861,934",99.7%
73,74,Along With the Gods: The Two Worlds,"$109,383,972","$1,908,823",1.7%,"$107,475,149",98.3%
74,75,Immortal Demon Slayer,"$103,818,506",-,-,"$103,818,506",100%
75,76,Jigsaw,"$102,952,888","$38,052,832",37%,"$64,900,056",63%
76,77,Life,"$100,541,806","$30,234,022",30.1%,"$70,307,784",69.9%
77,78,Atomic Blonde,"$100,014,025","$51,687,870",51.7%,"$48,326,155",48.3%
78,79,Legend of the Demon Cat,"$97,051,623",-,-,"$97,051,623",100%
79,80,The Shack,"$96,942,115","$57,386,418",59.2%,"$39,555,697",40.8%
80,81,Chasing the Dragon,"$87,965,942","$456,854",0.5%,"$87,509,088",99.5%
81,82,Tiger Zinda Hai,"$87,320,000","$5,560,921",6.4%,"$81,759,079",93.6%
82,83,A Taxi Driver,"$86,252,940","$1,527,829",1.8%,"$84,725,111",98.2%
83,84,Going in Style,"$84,918,541","$45,018,541",53%,"$39,900,000",47%
84,85,Rings,"$83,080,890","$27,793,018",33.5%,"$55,287,872",66.5%
85,86,Once Upon A Time,"$82,886,178","$485,728",0.6%,"$82,400,450",99.4%
86,87,Paradox,"$79,226,860",-,-,"$79,226,860",100%
87,88,Lady Bird,"$78,965,611","$48,958,273",62%,"$30,007,338",38%
88,89,Fantastica: A Boonie Bears Adventure,"$77,151,096",-,-,"$77,151,096",100%
89,90,The Nut Job 2: Nutty by Nature,"$68,743,485","$28,370,522",41.3%,"$40,372,963",58.7%
90,91,American Assassin,"$67,234,188","$36,249,674",53.9%,"$30,984,514",46.1%
91,92,Victoria & Abdul,"$66,558,465","$22,245,070",33.4%,"$44,313,395",66.6%
92,93,Suck Me Shakespeer 3,"$64,236,772",-,-,"$64,236,772",100%
93,94,Detective Conan: Crimson Love Letter,"$63,144,805",-,-,"$63,144,805",100%
94,95,The Mountain Between Us,"$62,832,209","$30,348,555",48.3%,"$32,483,654",51.7%
95,96,The Star,"$62,812,974","$40,852,824",65%,"$21,960,150",35%
96,97,How to Be a Latin Lover,"$62,547,032","$32,149,404",51.4%,"$30,397,628",48.6%
97,98,47 Meters Down,"$62,187,529","$44,307,191",71.2%,"$17,880,338",28.8%
98,99,"Everything, Everything","$61,621,140","$34,121,140",55.4%,"$27,500,000",44.6%
99,100,Doraemon: Great Adventure in the Antarctic Kachi Kochi,"$61,153,455",-,-,"$61,153,455",100%
100,101,Snatched,"$60,845,711","$45,852,178",75.4%,"$14,993,533",24.6%
101,102,The Founding of an Army,"$60,600,361",-,-,"$60,600,361",100%
102,103,My Little Pony: The Movie,"$60,330,833","$21,885,107",36.3%,"$38,445,726",63.7%
103,104,Molly's Game,"$59,284,015","$28,780,744",48.5%,"$30,503,271",51.5%
104,105,The Devotion of Suspect X,"$59,035,664","$686,435",1.2%,"$58,349,229",98.8%
105,106,Shock Wave,"$58,815,633",-,-,"$58,815,633",100%
106,107,Goldbuster,"$57,628,292","$186,135",0.3%,"$57,442,157",99.7%
107,108,All the Money in the World,"$56,996,304","$25,113,707",44.1%,"$31,882,597",55.9%
108,109,The Big Sick,"$56,411,585","$42,873,127",76%,"$13,538,458",24%
109,110,Gongjo,"$55,972,241","$475,618",0.8%,"$55,496,623",99.2%
110,111,All Eyez on Me,"$55,668,698","$44,922,302",80.7%,"$10,746,396",19.3%
111,112,Downsizing,"$55,003,890","$24,449,754",44.5%,"$30,554,136",55.5%
112,113,"I, Tonya","$53,939,297","$30,014,539",55.6%,"$23,924,758",44.4%
113,114,1987: When the Day Comes,"$53,834,292",-,-,"$53,834,292",100%
114,115,The Outlaws,"$52,946,454",-,-,"$52,946,454",100%
115,116,Bleeding Steel,"$48,825,526",-,-,"$48,825,526",100%
116,117,Logan Lucky,"$48,453,605","$27,780,977",57.3%,"$20,672,628",42.7%
117,118,Boo 2! A Madea Halloween,"$48,333,932","$47,319,572",97.9%,"$1,014,360",2.1%
118,119,Sky Hunter,"$48,065,601",-,-,"$48,065,601",100%
119,120,Phantom Thread,"$47,756,590","$21,198,205",44.4%,"$26,558,385",55.6%
120,121,Rough Night,"$47,347,283","$22,105,643",46.7%,"$25,241,640",53.3%
121,122,Son of Bigfoot,"$47,046,281","$289,308",0.6%,"$46,756,973",99.4%
122,123,Three Seconds,"$46,596,415",-,-,"$46,596,415",100%
123,124,The Thousand Faces of Dunjia,"$46,263,237","$124,187",0.3%,"$46,139,050",99.7%
124,125,The Battleship Island,"$46,183,383","$1,104,957",2.4%,"$45,078,426",97.6%
125,126,Hanson and the Beast,"$46,154,323",-,-,"$46,154,323",100%
126,127,Gintama Live Action the Movie,"$45,746,967",-,-,"$45,746,967",100%
127,128,Guilty of Mind,"$45,698,503",-,-,"$45,698,503",100%
128,129,Flatliners,"$45,158,254","$16,883,115",37.4%,"$28,275,139",62.6%
129,130,Bad Genius,"$44,560,421",-,-,"$44,560,421",100%
130,131,Mother!,"$44,516,999","$17,800,004",40%,"$26,716,995",60%
131,132,Wind River,"$43,980,821","$33,800,859",76.9%,"$10,179,962",23.1%
132,133,Battle of Memories,"$43,892,362","$594,552",1.4%,"$43,297,810",98.6%
133,134,The Snowman,"$43,155,261","$6,700,035",15.5%,"$36,455,226",84.5%
134,135,Gifted,"$43,046,590","$24,801,212",57.6%,"$18,245,378",42.4%
135,136,Loving Vincent,"$42,187,665","$6,735,118",16%,"$35,452,547",84%
136,137,Mary and the Witch's Flower,"$41,978,431","$2,418,404",5.8%,"$39,560,027",94.2%
137,138,Call Me by Your Name,"$41,887,595","$18,095,701",43.2%,"$23,791,894",56.8%
138,139,T2 Trainspotting,"$41,681,746","$2,402,004",5.8%,"$39,279,742",94.2%
139,140,Fist Fight,"$41,087,017","$32,187,017",78.3%,"$8,900,000",21.7%
140,141,The Circle,"$40,656,399","$20,497,844",50.4%,"$20,158,555",49.6%
141,142,Diary of a Wimpy Kid: The Long Haul,"$40,140,972","$20,738,724",51.7%,"$19,402,248",48.3%
142,143,Brotherhood of Blades 2,"$39,966,092","$14,204",<0.1%,"$39,951,888",100%
143,144,Midnight Runners,"$39,730,433",-,-,"$39,730,433",100%
144,145,The King,"$37,886,707",-,-,"$37,886,707",100%
145,146,Pokémon the Movie: I Choose You!,"$37,552,144","$2,401,722",6.4%,"$35,150,422",93.6%
146,147,Home Again,"$37,270,721","$27,020,284",72.5%,"$10,250,437",27.5%
147,148,The Adventurers,"$36,796,816","$216,556",0.6%,"$36,580,260",99.4%
148,149,"Tad, the Lost Explorer, and the Secret of King Midas","$35,704,046","$5,874",<0.1%,"$35,698,172",100%
149,150,Hostiles,"$35,669,017","$29,819,114",83.6%,"$5,849,903",16.4%
150,151,Namiya,"$35,351,623","$70,814",0.2%,"$35,280,809",99.8%
151,152,Destiny: The Tale of Kamakura,"$35,166,640",-,-,"$35,166,640",100%
152,153,The Liquidator,"$35,046,130",-,-,"$35,046,130",100%
153,154,Kidnap,"$34,814,102","$30,971,040",89%,"$3,843,062",11%
154,155,R.A.I.D. Special Unit,"$34,598,750",-,-,"$34,598,750",100%
155,156,The House,"$34,184,504","$25,584,504",74.8%,"$8,600,000",25.2%
156,157,I Want to Eat Your Pancreas,"$33,748,006","$277,019",0.8%,"$33,470,987",99.2%
157,158,Perfect Strangers,"$33,262,366","$1,014,507",3.1%,"$32,247,859",96.9%
158,159,Sleepless,"$32,917,353","$20,783,704",63.1%,"$12,133,649",36.9%
159,160,Hindi Medium,"$32,841,493",-,-,"$32,841,493",100%
160,161,Steel Rain,"$32,783,733",-,-,"$32,783,733",100%
161,162,The House That Never Dies II,"$32,433,588",-,-,"$32,433,588",100%
162,163,The Invisible Guest,"$31,191,910",-,-,"$31,191,910",100%
163,164,This Is Not What I Expected,"$30,996,615","$337,670",1.1%,"$30,658,945",98.9%
164,165,The Last Warrior,"$30,618,274",-,-,"$30,618,274",100%
165,166,Reset 2017 Re-release,"$29,949,252","$108,970",0.4%,"$29,840,282",99.6%
166,167,The Bye Bye Man,"$29,874,280","$22,395,806",75%,"$7,478,474",25%
167,168,The Disaster Artist,"$29,820,616","$21,120,616",70.8%,"$8,700,000",29.2%
168,169,The Swindlers,"$29,721,916","$241,916",0.8%,"$29,480,000",99.2%
169,170,Alibi.com,"$29,370,592",-,-,"$29,370,592",100%
170,171,Sword Art Online the Movie: Ordinal Scale,"$29,322,339","$1,522,976",5.2%,"$27,799,363",94.8%
171,172,Recep Ivedik 5,"$28,952,258",-,-,"$28,952,258",100%
172,173,Judwaa 2,"$28,733,523","$1,431,255",5%,"$27,302,268",95%
173,174,The Fortress,"$28,645,448","$252,895",0.9%,"$28,392,553",99.1%
174,175,What Happened to Monday,"$27,975,429",-,-,"$27,975,429",100%
175,176,Monster Family,"$27,890,108","$127,259",0.5%,"$27,762,849",99.5%
176,177,The Beguiled,"$27,869,129","$10,709,995",38.4%,"$17,159,134",61.6%
177,178,CHIPS,"$26,800,152","$18,600,152",69.4%,"$8,200,000",30.6%
178,179,A Cure for Wellness,"$26,620,002","$8,106,986",30.5%,"$18,513,016",69.5%
179,180,Only the Brave,"$26,351,322","$18,343,983",69.6%,"$8,007,339",30.4%
180,181,Twenty Two,"$26,289,378","$46,796",0.2%,"$26,242,582",99.8%
181,182,The Zookeeper's Wife,"$26,152,835","$17,571,660",67.2%,"$8,581,175",32.8%
182,183,Badrinath Ki Dulhania,"$26,134,309","$1,993,259",7.6%,"$24,141,050",92.4%
183,184,A Chinese Odyssey: Part 2 - Cinderella 2017 Re-release,"$25,960,664",-,-,"$25,960,664",100%
184,185,Love Off the Cuff,"$25,959,989",-,-,"$25,959,989",100%
185,186,Fireworks,"$25,672,406","$525,280",2%,"$25,147,126",98%
186,187,Father Figures,"$25,601,244","$17,501,244",68.4%,"$8,100,000",31.6%
187,188,Money,"$25,403,753",-,-,"$25,403,753",100%
188,189,The Death of Stalin,"$24,646,055","$8,047,856",32.7%,"$16,598,199",67.3%
189,190,The 8-Year Engagement,"$24,425,963",-,-,"$24,425,963",100%
190,191,Jolly LLB 2,"$24,214,186","$1,654,254",6.8%,"$22,559,932",93.2%
191,192,I Can Speak,"$24,024,444","$63,239",0.3%,"$23,961,205",99.7%
192,193,Wish Upon,"$23,468,586","$14,301,505",60.9%,"$9,167,081",39.1%
193,194,Detroit,"$23,355,100","$16,790,139",71.9%,"$6,564,961",28.1%
194,195,Extraordinary Mission,"$22,757,764","$54,174",0.2%,"$22,703,590",99.8%
195,196,The Glass Castle,"$22,088,533","$17,273,059",78.2%,"$4,815,474",21.8%
196,197,Leap! 2017 Re-release,"$21,929,861","$21,858,070",99.7%,"$71,791",0.3%
197,198,Épouse-moi mon pote,"$21,571,464",-,-,"$21,571,464",100%
198,199,The Prison,"$21,205,329","$207,481",1%,"$20,997,848",99%
199,200,One Hundred Thousand Bad Jokes 2,"$20,460,352",-,-,"$20,460,352",100%
