movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Toy Story 3,10193,tt0435761,Tom Hanks,27.299,Tim Allen,18.361,Joan Cusack,14.925,Don Rickles,6.514,Wallace Shawn,23.955
Alice in Wonderland,12092,tt0043274,Kathryn Beaumont,3.164,Ed Wynn,5.868,Richard Haydn,5.899,Sterling Holloway,4.586,Jerry Colonna,3.879
Harry Potter and the Deathly Hallows: Part 1,12444,tt0926084,Daniel Radcliffe,24.549,Rupert Grint,11.399,Emma Watson,69.598,Helena Bonham Carter,40.369,Robbie Coltrane,11.869
Inception,27205,tt1375666,Leonardo DiCaprio,24.953,Joseph Gordon-Levitt,20.585,Ken Watanabe,19.69,Tom Hardy,59.898,Elliot Page,20.968
Shrek Forever After,10192,tt0892791,Mike Myers,16.026,Eddie Murphy,13.301,Cameron Diaz,18.596,Antonio Banderas,18.301,Julie Andrews,12.132
The Twilight Saga: Eclipse,24021,tt1325004,Kristen Stewart,28.953,Robert Pattinson,26.955,Taylor Lautner,22.521,Ashley Greene,24.874,Peter Facinelli,17.93
Iron Man 2,10138,tt1228705,Robert Downey Jr.,38.361,Gwyneth Paltrow,15.957,Don Cheadle,12.494,Scarlett Johansson,38.188,Sam Rockwell,13.281
Tangled,38757,tt0398286,Mandy Moore,15.654,Zachary Levi,21.383,Donna Murphy,7.898,Ron Perlman,19.305,M.C. Gainey,4.138
Despicable Me,20352,tt1323594,Steve Carell,18.584,Miranda Cosgrove,32.281,Dana Gaier,7.253,Elsie Fisher,12.425,Jason Segel,9.132
How to Train Your Dragon,10191,tt0892769,Jay Baruchel,19.385,Gerard Butler,18.085,Craig Ferguson,9.923,America Ferrera,10.634,Jonah Hill,14.14
Clash of the Titans,18823,tt0800320,Sam Worthington,21.962,Gemma Arterton,23.064,Mads Mikkelsen,51.526,Alexa Davalos,18.375,Jason Flemyng,18.705
The King's Speech,45269,tt1504320,Colin Firth,13.147,Geoffrey Rush,9.579,Helena Bonham Carter,40.369,Guy Pearce,19.454,Timothy Spall,11.204
The Chronicles of Narnia: The Voyage of the Dawn Treader,10140,tt0980970,Georgie Henley,14.104,Skandar Keynes,14.664,Will Poulter,28.358,Ben Barnes,16.01,Anna Popplewell,15.722
TRON: Legacy,20526,tt1104001,Garrett Hedlund,4.582,Jeff Bridges,17.346,Olivia Wilde,19.984,Bruce Boxleitner,6.755,Michael Sheen,13.665
The Karate Kid,38575,tt1155076,Jaden Smith,7.993,Jackie Chan,26.273,Taraji P. Henson,12.785,Wenwen Han,5.306,Yu Rongguang,14.143
Black Swan,44214,tt0947798,Natalie Portman,20.23,Mila Kunis,20.107,Vincent Cassel,12.325,Barbara Hershey,16.999,Winona Ryder,20.857
Megamind,38055,tt1001526,Will Ferrell,13.839,Brad Pitt,26.942,Tina Fey,7.139,Jonah Hill,14.14,David Cross,20.007
Robin Hood,20662,tt0955308,Russell Crowe,20.111,Cate Blanchett,18.898,Max von Sydow,7.852,William Hurt,23.957,Mark Strong,25.911
The Last Airbender,10196,tt0938283,Noah Ringer,6.614,Dev Patel,9.853,Nicola Peltz,23.985,Jackson Rathbone,15.132,Shaun Toub,9.772
Little Fockers,39451,tt0970866,Robert De Niro,28.296,Ben Stiller,11.792,Owen Wilson,46.143,Dustin Hoffman,12.71,Barbra Streisand,10.282
Resident Evil: Afterlife,35791,tt1220634,Milla Jovovich,16.232,Wentworth Miller,20.167,Ali Larter,24.854,Kim Coates,15.728,Kacey Clarke,11.49
Shutter Island,11324,tt1130884,Leonardo DiCaprio,24.953,Mark Ruffalo,9.185,Ben Kingsley,17.546,Emily Mortimer,12.578,Max von Sydow,7.852
Salt,27576,tt0944835,Angelina Jolie,13.484,Liev Schreiber,11.287,Chiwetel Ejiofor,13.52,Daniel Olbrychski,4.634,August Diehl,7.515
Sex and the City 2,37786,tt1261945,Sarah Jessica Parker,9.893,Kim Cattrall,18.278,Kristin Davis,9.654,Cynthia Nixon,8.98,Chris Noth,15.708
The Tourist,37710,tt1243957,Johnny Depp,50.461,Angelina Jolie,13.484,Paul Bettany,20.208,Timothy Dalton,14.325,Steven Berkoff,10.102
The Expendables,27578,tt1320253,Sylvester Stallone,32.593,Jason Statham,68.171,Jet Li,28.972,Dolph Lundgren,16.016,Eric Roberts,11.505
Grown Ups,38365,tt1375670,Adam Sandler,14.625,Kevin James,18.227,Chris Rock,20.036,David Spade,19.293,Rob Schneider,27.975
Knight and Day 2010 Re-release,,,,,,,,,,,,
True Grit,44264,tt1403865,Hailee Steinfeld,55.775,Jeff Bridges,17.346,Matt Damon,23.323,Josh Brolin,39.186,Barry Pepper,22.121
Gulliver's Travels,38745,tt1320261,Jack Black,23.771,Amanda Peet,17.802,Emily Blunt,22.529,Jason Segel,9.132,Chris O'Dowd,9.549
Percy Jackson & the Olympians: The Lightning Thief,32657,tt0814255,Logan Lerman,18.47,Brandon T. Jackson,8.079,Alexandra Daddario,42.013,Jake Abel,10.256,Pierce Brosnan,42.595
The Social Network,37799,tt1285016,Jesse Eisenberg,30.679,Andrew Garfield,34.741,Justin Timberlake,7.076,Armie Hammer,23.554,Max Minghella,10.976
Valentine's Day,32856,tt0817230,Julia Roberts,18.361,Bradley Cooper,38.912,Anne Hathaway,36.931,Taylor Swift,10.33,Patrick Dempsey,10.251
The Sorcerer's Apprentice,27022,tt0963966,Nicolas Cage,31.357,Jay Baruchel,19.385,Alfred Molina,18.667,Teresa Palmer,17.413,Toby Kebbell,12.326
Due Date,41733,tt1231583,Robert Downey Jr.,38.361,Zach Galifianakis,14.573,Michelle Monaghan,23.375,Jamie Foxx,20.417,Juliette Lewis,16.435
Eat Pray Love,38167,tt0879870,Julia Roberts,18.361,Javier Bardem,24.038,James Franco,11.754,Billy Crudup,19.433,Richard Jenkins,11.093
Yogi Bear,41515,tt1302067,Dan Aykroyd,17.016,Justin Timberlake,7.076,Anna Faris,17.473,Tom Cavanagh,13.7,T. J. Miller,14.522
RED,508947,tt8097030,Rosalie Chiang,9.263,Sandra Oh,16.974,Ava Morse,10.545,Hyein Park,2.092,Maitreyi Ramakrishnan,3.069
Paranormal Activity 2,41436,tt1536044,Sprague Grayden,10.45,Brian Boland,2.73,Molly Ephraim,12.515,Katie Featherston,4.309,Micah Sloat,1.4
The A-Team,34544,tt0429493,Liam Neeson,33.989,Sharlto Copley,11.098,Bradley Cooper,38.912,Quinton Jackson,1.583,Jessica Biel,16.734
Jackass 3D,16290,tt1116184,Johnny Knoxville,19.66,Bam Margera,7.583,Ryan Dunn,6.22,Steve-O,8.298,Chris Pontius,9.584
The Other Guys,27581,tt1386588,Will Ferrell,13.839,Mark Wahlberg,49.465,Eva Mendes,17.84,Michael Keaton,17.975,Steve Coogan,8.401
Unstoppable,44048,tt0477080,Denzel Washington,33.586,Chris Pine,29.596,Rosario Dawson,22.564,Kevin Dunn,10.082,Lew Temple,7.469
Step Up,9762,tt0462590,Channing Tatum,22.942,Jenna Dewan,16.087,Damaine Radcliff,3.328,Rachel Griffiths,14.466,De'Shawn Washington,0.669
The Book of Eli,20504,tt1037705,Denzel Washington,33.586,Gary Oldman,27.283,Mila Kunis,20.107,Ray Stevenson,6.964,Jennifer Beals,29.31
The Town,23168,tt0840361,Ben Affleck,23.439,Rebecca Hall,27.441,Jeremy Renner,47.118,Jon Hamm,16.214,Blake Lively,12.53
Date Night,35056,tt1279935,Steve Carell,18.584,Tina Fey,7.139,Mark Wahlberg,49.465,Taraji P. Henson,12.785,Jimmi Simpson,15.489
The Secret World of Arrietty,51739,tt1568921,Mirai Shida,6.495,Ryunosuke Kamiki,9.834,Tomokazu Miura,4.724,Keiko Takeshita,6.592,Kirin Kiki,2.649
Legend of the Guardians: The Owls of Ga'Hoole,41216,tt1219342,Jim Sturgess,7.639,Ryan Kwanten,8.846,Hugo Weaving,26.212,Helen Mirren,17.793,Geoffrey Rush,9.579
The Wolfman,7978,tt0780653,Benicio del Toro,15.254,Anthony Hopkins,20.548,Emily Blunt,22.529,Hugo Weaving,26.212,Cristina Contes,3.123
The Bounty Hunter,27573,tt1038919,Gerard Butler,18.085,Jennifer Aniston,17.122,Peter Greene,14.069,Jeff Garlin,9.158,Jason Sudeikis,8.331
Saw: The Final Chapter,41439,tt1477076,Tobin Bell,19.7,Costas Mandylor,10.318,Betsy Russell,15.967,Cary Elwes,19.0,Sean Patrick Flanery,12.141
Wall Street: Money Never Sleeps,33909,tt1027718,Michael Douglas,9.193,Shia LaBeouf,15.34,Josh Brolin,39.186,Carey Mulligan,14.494,Frank Langella,9.406
The Adjustment Bureau,38050,tt1385826,Matt Damon,23.323,Emily Blunt,22.529,John Slattery,11.025,Anthony Mackie,17.839,Michael Kelly,7.629
Predators,34851,tt1424381,Adrien Brody,15.374,Topher Grace,9.624,Alice Braga,33.869,Oleg Taktarov,6.054,Laurence Fishburne,30.531
A Nightmare on Elm Street,377,tt0087800,Heather Langenkamp,9.17,Robert Englund,9.363,John Saxon,8.712,Ronee Blakley,5.712,Amanda Wyss,7.963
Dear John,22971,tt0989757,Amanda Seyfried,37.184,Channing Tatum,22.942,Richard Jenkins,11.093,Henry Thomas,17.597,D.J. Cotrona,4.438
Cats & Dogs: The Revenge of Kitty Galore,39691,tt1287468,James Marsden,19.282,Nick Nolte,11.236,Christina Applegate,15.238,Bette Midler,7.907,Pascale Hutton,3.691
Tooth Fairy,23023,tt0808510,Dwayne Johnson,29.99,Stephen Merchant,10.846,Ashley Judd,14.057,Julie Andrews,12.132,Ryan Sheckler,7.898
Sanctum,48340,tt0881320,Richard Roxburgh,13.958,Ioan Gruffudd,18.035,Rhys Wakefield,8.393,Alice Parkinson,4.607,Dan Wyllie,1.62
Harmony,896221,tt15720718,Anna Kendrick,18.19,Justin Timberlake,7.076,Kenan Thompson,11.08,Travis Scott,4.073,Carol Burnett,2.871
Hereafter,44603,tt1212419,Matt Damon,23.323,Cécile de France,12.926,Bryce Dallas Howard,24.741,Thierry Neuvic,4.008,Cyndi Mayo Davis,2.729
Life as We Know It,38408,tt1055292,Josh Duhamel,10.859,Katherine Heigl,17.902,Josh Lucas,10.904,Christina Hendricks,19.454,Hayes MacArthur,3.387
Let the Bullets Fly,51533,tt1533117,Chow Yun-Fat,13.342,Ge You,3.421,Jiang Wen,5.887,Carina Lau,12.2,Chen Kun,8.38
Love & Other Drugs,43347,tt0758752,Jake Gyllenhaal,21.848,Anne Hathaway,36.931,Oliver Platt,16.127,Hank Azaria,10.806,Josh Gad,11.913
Aftershock,123103,tt1780762,Eli Roth,13.95,Andrea Osvárt,8.413,Ariel Levy,1.4,Lorenza Izzo,5.467,Nicolás Martínez,0.98
Umizaru 3: The Last Message,63500,tt1277373,Hideaki Ito,9.538,Ai Kato,1.4,Karina,2.43,,,,
Killers,37821,tt1103153,Ashton Kutcher,15.04,Katherine Heigl,17.902,Tom Selleck,12.879,Catherine O'Hara,17.22,Katheryn Winnick,36.255
Kick-Ass,23483,tt1250777,Aaron Taylor-Johnson,14.255,Chloë Grace Moretz,56.69,Nicolas Cage,31.357,Christopher Mintz-Plasse,9.593,Mark Strong,25.911
Nanny McPhee Returns,35019,tt1415283,Emma Thompson,24.804,Asa Butterfield,18.109,Ralph Fiennes,32.618,Maggie Gyllenhaal,12.685,Maggie Smith,17.595
Get Him to the Greek,32823,tt1226229,Jonah Hill,14.14,Russell Brand,11.873,Rose Byrne,25.865,Elisabeth Moss,10.627,Colm Meaney,5.217
Burlesque,42297,tt1126591,Cher,5.967,Christina Aguilera,3.58,Eric Dane,18.318,Cam Gigandet,12.25,Julianne Hough,8.7
The Last Song,35690,tt1294226,Miley Cyrus,8.196,Greg Kinnear,9.243,Bobby Coleman,7.25,Liam Hemsworth,10.599,Hallock Beals,0.709
Dinner for Schmucks,38778,tt0427152,Steve Carell,18.584,Paul Rudd,34.179,Zach Galifianakis,14.573,Jemaine Clement,11.301,Stephanie Szostak,7.122
Bayside Shakedown 3: Set the Guys Loose,65841,tt1212453,Yuji Oda,2.769,Eri Fukatsu,4.737,Yūsuke Santamaria,1.594,Toshirō Yanagiba,1.844,Atsushi Ito,2.253
Marmaduke,38579,tt1392197,Lee Pace,18.606,Judy Greer,23.295,Owen Wilson,46.143,Emma Stone,40.711,George Lopez,4.881
Piranha 3D,43593,tt0464154,Elisabeth Shue,29.8,Jerry O'Connell,10.482,Steven R. McQueen,10.688,Jessica Szohr,9.576,Kelly Brook,11.413
Oceans,402900,tt5164214,Cate Blanchett,18.898,Sandra Bullock,32.612,Anne Hathaway,36.931,Sarah Paulson,16.392,Awkwafina,44.339
Blades of Blood 2010 Re-release,,,,,,,,,,,,
Edge of Darkness,12201,tt1226273,Mel Gibson,25.645,Ray Winstone,9.559,Shawn Roberts,13.269,Bojana Novaković,9.274,Danny Huston,7.01
Vampires Suck,40264,tt1666186,Jenn Proske,4.317,Chris Riggi,4.917,Matt Lanter,10.947,Ken Jeong,8.844,Kelsey Ford,3.074
Letters to Juliet,37056,tt0892318,Amanda Seyfried,37.184,Gael García Bernal,11.422,Vanessa Redgrave,12.989,Franco Nero,7.734,Luisa Ranieri,9.832
The Back-up Plan,34806,tt1212436,Jennifer Lopez,10.12,Alex O'Loughlin,10.592,Danneel Ackles,6.23,Eric Christian Olsen,6.397,Anthony Anderson,9.136
Diary of a Wimpy Kid,774741,tt13834480,Brady Noon,5.968,Ethan William Childress,1.749,Hunter Dillon,6.839,Erica Cerra,12.558,Chris Diamantopoulos,20.359
If You Are the One 2,56540,tt1810602,Ge You,3.421,Shu Qi,15.112,Sun Honglei,9.005,Yao Chen,4.785,Zhang Hanyu,8.378
Easy A,37735,tt1282140,Emma Stone,40.711,Cam Gigandet,12.25,Amanda Bynes,11.788,Penn Badgley,13.104,Dan Byrd,9.488
Hubble,44992,tt1433813,Leonardo DiCaprio,24.953,,,,,,,,
Pokémon: Zoroark: Master of Illusions,50087,tt1690470,Rica Matsumoto,3.599,Ikue Otani,8.898,Yuji Ueda,4.52,Megumi Toyoguchi,3.097,Etsuko Kozakura,3.332
A Turtle's Tale: Sammy's Adventures,49953,tt1230204,Yuri Lowenthal,7.5,Gemma Arterton,23.064,Isabelle Fuhrman,16.303,Melanie Griffith,9.989,Tim Curry,13.58
The Last Exorcism,38358,tt1320244,Ashley Bell,5.069,Patrick Fabian,12.69,Iris Bahr,3.315,Louis Herthum,4.935,Caleb Landry Jones,16.093
Takers,22907,tt1135084,Idris Elba,26.498,Paul Walker,20.93,Matt Dillon,20.335,Michael Ealy,11.7,Jay Hernandez,18.254
Bestseller,675120,tt5026428,,,,,,,,,,
Legion,22894,tt1038686,Paul Bettany,20.208,Dennis Quaid,13.1,Lucas Black,15.362,Kate Walsh,19.135,Tyrese Gibson,8.218
The American,27579,tt1440728,George Clooney,20.782,Violante Placido,9.548,Thekla Reuten,7.805,Paolo Bonacelli,7.192,Johan Leysen,2.916
The Next Three Days,43539,tt1458175,Russell Crowe,20.111,Elizabeth Banks,14.855,Brian Dennehy,11.834,RZA,9.185,Moran Atias,4.866
Skyline,42684,tt1564585,Eric Balfour,11.774,Scottie Thompson,10.399,David Zayas,12.341,Donald Faison,11.643,Brittany Daniel,10.706
