Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets,Score
The Avengers,2500,1104,1030,366,0.5020408163
Skyfall,2500,1216,979,305,0.5989480605
The Dark Knight Rises,2500,938,1254,308,0.5056179775
The Hobbit: An Unexpected Journey,2500,454,1961,85,0.6846011132
Ice Age 4: Continental Drift,2500,906,1516,78,0.8414634146
The Twilight Saga: Breaking Dawn - Part 2,2500,511,1894,95,0.6864686469
The Amazing Spider-Man,2500,2468,6,26,0.9791499599
Madagascar 3: Europe's Most Wanted,2500,326,2132,42,0.7717391304
The Hunger Games,2500,971,146,1383,-0.1750212404
Men in Black 3,2500,1032,1066,402,0.4393305439
Life of Pi,2500,1251,992,257,0.6591511936
Ted,2500,971,1165,364,0.4546816479
Brave,2500,2278,86,136,0.8873239437
Wreck-It Ralph,2500,995,1263,242,0.6087308003
Les Mis̩rables,2500,1135,1015,350,0.5286195286
Django Unchained,2500,1030,1127,343,0.5003641661
Prometheus,2500,955,1086,459,0.3507779349
Snow White and the Huntsman,2500,911,1379,210,0.6253345227
Taken 2,2500,1016,953,531,0.3135100194
Hotel Transylvania,2500,1091,1184,225,0.6580547112
The Lorax,2500,1243,1012,245,0.6706989247
Journey 2: The Mysterious Island,2500,583,1803,114,0.6728837877
The Expendables 2,2500,752,1540,208,0.5666666667
Rise of the Guardians,2500,967,1287,246,0.5943940643
Battleship,2500,998,828,674,0.1937799043
Wrath of the Titans,2500,740,1409,351,0.3565536205
John Carter,2500,1034,1068,398,0.4441340782
The Bourne Legacy,2500,925,1150,425,0.3703703704
Lincoln,2500,1030,1087,383,0.457891012
We're the Millers,2500,1095,1169,236,0.645379414
Dark Shadows,2500,1075,1112,313,0.5489913545
Resident Evil: Retribution,2500,206,78,2216,-0.8298926507
Silver Linings Playbook,2500,1605,708,187,0.7912946429
American Reunion,2500,1020,1148,332,0.5088757396
Argo,2500,1276,884,340,0.5792079208
Jack Reacher,2500,1240,964,296,0.6145833333
Safe House,2500,1995,273,232,0.7916479569
21 Jump Street,2500,1249,927,324,0.5880483153
Total Recall,2500,903,1093,504,0.2835820896
The Impossible,2500,1101,1030,369,0.4979591837
The Vow,2500,1134,969,397,0.4813847159
Mirror Mirror,2500,1178,1025,297,0.5972881356
The Dictator,2500,1077,1123,300,0.5642701525
Looper,2500,1195,876,429,0.4716748768
Magic Mike,2500,1043,1119,338,0.5104996379
Flight,2500,1103,886,511,0.3667905824
Underworld: Awakening,2500,997,1213,290,0.5493395493
This Means War,2500,627,189,1684,-0.4573777585
Paranormal Activity 4,2500,879,909,712,0.1049654305
Step Up Revolution,2500,1141,1120,239,0.6536231884
The Best Exotic Marigold Hotel,2500,2484,4,12,0.9903846154
The Wind Rises,2500,1267,819,414,0.50743605
Last Vegas,2500,1326,946,228,0.7065637066
Zero Dark Thirty,2500,846,1045,609,0.1628865979
Ghost Rider: Spirit of Vengeance,2500,523,21,1956,-0.5780556676
Cloud Atlas,2500,1157,984,359,0.5263852243
The Woman in Black,2500,850,1089,561,0.2048192771
Chronicle,2500,1073,1014,413,0.4441453567
Walking with Dinosaurs 3D,2500,942,1402,156,0.7158469945
The Pirates! Band of Misfits,2500,736,1678,86,0.7907542579
Parental Guidance,2500,1386,897,217,0.7292576419
Abraham Lincoln: Vampire Hunter,2500,845,1249,406,0.3509192646
Pitch Perfect,2500,2115,249,136,0.8791648156
Hope Springs,2500,2194,180,126,0.8913793103
ParaNorman,2500,888,1278,334,0.4533551555
The Campaign,2500,1044,1044,412,0.4340659341
Project X,2500,1131,1019,350,0.5273463876
The Devil Inside,2500,174,33,2293,-0.8589379814
The Lucky One,2500,2300,32,168,0.8638573744
Contraband,2500,1024,1068,408,0.4301675978
Think Like a Man,2500,2243,20,237,0.8088709677
Masquerade,2213,1089,601,523,0.3511166253
This Is 40,2500,1132,988,380,0.4973544974
The Thieves,2500,393,178,1929,-0.661498708
The Possession,2500,771,1068,661,0.07681564246
What to Expect When You're Expecting,2500,869,1434,197,0.6303939962
Savages,2500,698,607,1195,-0.2625462229
Sinister,2500,227,61,2212,-0.8138581386
Act of Valor,2500,1091,1128,281,0.5903790087
Frankenweenie,1610,901,492,217,0.6118067979
Diary of a Wimpy Kid: Dog Days,2500,922,33,1545,-0.2525334414
To Rome with Love,2500,2413,53,34,0.9722108705
Here Comes the Boom,2500,992,1266,242,0.6077795786
The Cabin in the Woods,2500,975,978,547,0.2812089356
Anna Karenina,2500,1137,976,387,0.4921259843
The Watch,2500,1115,916,469,0.4078282828
Moonrise Kingdom,2500,1442,846,212,0.7436517533
Madea's Witness Protection,2500,1021,1251,228,0.6349079263
Quartet,892,391,423,78,0.6673773987
Rock of Ages,2500,1234,948,318,0.5902061856
That's My Boy,2500,1148,1025,327,0.5566101695
The Odd Life of Timothy Green,2500,598,34,1868,-0.5150040552
Lawless,2500,1108,1060,332,0.5388888889
End of Watch,2500,1095,1030,375,0.4897959184
The Three Stooges,2500,820,1229,451,0.2903225806
The Five-Year Engagement,2500,2318,114,68,0.9430008382
Red Dawn,2500,1007,945,548,0.2951768489
Red Tails,2500,1081,1047,372,0.4879559532
Trouble with the Curve,2500,611,97,1792,-0.4914689971
Man on a Ledge,2500,989,1167,344,0.4838709677
House at the End of the Street,2500,811,1108,581,0.1652298851
The Guilt Trip,2500,835,44,1621,-0.3200325733
Safe,2500,2164,84,252,0.7913907285
Dredd,2500,1182,923,395,0.4990488269
Chernobyl Diaries,2500,727,1084,689,0.02683615819
Killing Them Softly,2500,261,165,2074,-0.7764453961
Good Deeds,2500,1567,68,865,0.2886513158
Arbitrage,2500,1173,926,401,0.4904701398
Chimpanzee,2500,1246,991,263,0.6514247846
Alex Cross,2500,929,1133,438,0.3591806876
Salmon Fishing in the Yemen,2500,863,1486,151,0.7021696252
Haywire,2500,989,948,563,0.2744845361
Cirque du Soleil: Worlds Away,2500,932,1434,134,0.7485928705
2016: Obama's America,2500,1001,1069,430,0.3990216632
The Perks of Being a Wallflower,2500,1159,1019,322,0.5651586766
Lockout,2500,900,980,620,0.1842105263
Part of Me,2500,1178,861,461,0.437461867
Movie 43,2500,875,672,953,-0.04266958425
Seven Psychopaths,2500,1132,1027,341,0.5369993211
Joyful Noise,2500,2235,159,106,0.9094404101
Premium Rush,54,12,35,7,0.2631578947
Playing for Keeps,2500,2096,177,227,0.804563065
The Raven,2500,1269,871,360,0.5580110497
Amour,888,362,355,171,0.3583489681
Rowdy Rathore,2500,1127,1132,241,0.6476608187
Bol Bachchan,2500,1400,872,228,0.7199017199
The Master,2500,1027,1089,384,0.4557051736
Hitchcock,2500,956,1096,448,0.3618233618
Dancing Queen,2500,1180,1041,279,0.6175462646
On the Other Side of the Tracks,394,131,201,62,0.3575129534
Big Miracle,2500,2271,179,50,0.9569151228
Sparkle,2500,1931,283,286,0.7419936852
The Players,2500,1283,676,541,0.4067982456
Wanderlust,2500,1253,899,348,0.5652717052
To the Arctic 3D,1007,433,555,19,0.9159292035
Fall in Love Like a Star,148,148,0,0,1
Upside Down,2500,950,1098,452,0.3552068474